lanb11,Noticeboard
larsrc11,Share Resources
laqa11,Question and Answer
lamc11,Multiple Choice
lafrum11,Forum
lachat11,Chat
lantbk11,Notebook
laasse10,Assessment
lamind10,Mind Map
lasbmt11,Submit Files
lavote11,Voting
laimag10,Image Gallery
lasurv11,Survey
lascrb11,Scribe
latask10,Tasklist
lawiki10,Wiki
lapixl10,Pixlr
lagmap10,Google Maps
ladaco10,Data Collection
lavidr10,Video Recorder
lasprd10,Spreadsheet
lakalt11,kalt?
lascrt11,Scratchie
lalead11,Leader selection
laprev11,prev?
laimsc11,Common Cartridge
labbb10,Web Conferencing
eueadv10,eAdventure